1,100,USD,INR,10000,800000,2024-5-14,2024,5,14,14
2,100,USD,INR,10000,800000,2024-5-21,2024,5,21,21
3,100,USD,INR,10000,800000,2024-5-07,2024,5,7,07
4,101,USD,INR,10000,800000,2024-5-30,2024,5,30,30
5,101,USD,INR,10000,800000,2024-5-03,2024,5,3,03
6,101,USD,INR,10000,800000,2024-5-07,2024,5,7,07
7,102,USD,INR,10000,800000,2024-5-19,2024,5,19,19
8,102,USD,INR,10000,800000,2024-5-21,2024,5,21,21
9,102,USD,INR,10000,800000,2024-5-22,2024,5,22,22
10,100,USD,INR,10000,800000,2024-5-13,2024,5,13,13
11,100,USD,INR,10000,800000,2024-5-10,2024,5,10,10
12,100,USD,INR,10000,800000,2024-5-06,2024,5,6,06
13,100,USD,INR,10000,800000,2024-5-28,2024,5,28,28
14,101,USD,INR,10000,800000,2024-5-06,2024,5,6,06
15,101,USD,INR,10000,800000,2024-5-10,2024,5,10,10
16,101,USD,INR,10000,800000,2024-5-02,2024,5,2,02
17,102,USD,INR,10000,800000,2024-5-22,2024,5,22,22
18,102,USD,INR,10000,800000,2024-5-27,2024,5,27,27
19,102,USD,INR,10000,800000,2024-5-26,2024,5,26,26
20,100,USD,INR,10000,800000,2024-5-06,2024,5,6,06
21,100,USD,INR,10000,800000,2024-5-23,2024,5,23,23
22,100,USD,INR,10000,800000,2024-5-28,2024,5,28,28
23,100,USD,INR,10000,800000,2024-5-24,2024,5,24,24
24,101,USD,INR,10000,800000,2024-5-25,2024,5,25,25
25,101,USD,INR,10000,800000,2024-5-22,2024,5,22,22
26,101,USD,INR,10000,800000,2024-5-29,2024,5,29,29
27,102,USD,INR,10000,800000,2024-5-30,2024,5,30,30
28,102,USD,INR,10000,800000,2024-5-11,2024,5,11,11
29,102,USD,INR,10000,800000,2024-5-09,2024,5,9,09
30,100,USD,INR,10000,800000,2024-5-19,2024,5,19,19
31,100,USD,INR,10000,800000,2024-5-29,2024,5,29,29
32,100,USD,INR,10000,800000,2024-5-20,2024,5,20,20
33,100,USD,INR,10000,800000,2024-5-09,2024,5,9,09
34,101,USD,INR,10000,800000,2024-5-17,2024,5,17,17
35,101,USD,INR,10000,800000,2024-5-30,2024,5,30,30
36,101,USD,INR,10000,800000,2024-5-06,2024,5,6,06
37,102,USD,INR,10000,800000,2024-5-22,2024,5,22,22
38,102,USD,INR,10000,800000,2024-5-19,2024,5,19,19
39,102,USD,INR,10000,800000,2024-5-26,2024,5,26,26
40,100,USD,INR,10000,800000,2024-5-17,2024,5,17,17
41,100,USD,INR,10000,800000,2024-5-20,2024,5,20,20
42,100,USD,INR,10000,800000,2024-5-25,2024,5,25,25
43,100,USD,INR,10000,800000,2024-5-03,2024,5,3,03
44,101,USD,INR,10000,800000,2024-5-21,2024,5,21,21
45,101,USD,INR,10000,800000,2024-5-17,2024,5,17,17
46,101,USD,INR,10000,800000,2024-5-10,2024,5,10,10
47,102,USD,INR,10000,800000,2024-5-16,2024,5,16,16
48,102,USD,INR,10000,800000,2024-5-13,2024,5,13,13
49,102,USD,INR,10000,800000,2024-5-26,2024,5,26,26
50,100,USD,INR,10000,800000,2024-5-10,2024,5,10,10
51,100,USD,INR,10000,800000,2024-5-16,2024,5,16,16
52,100,USD,INR,10000,800000,2024-5-27,2024,5,27,27
53,100,USD,INR,10000,800000,2024-5-04,2024,5,4,04
54,101,USD,INR,10000,800000,2024-5-18,2024,5,18,18
55,101,USD,INR,10000,800000,2024-5-20,2024,5,20,20
56,101,USD,INR,10000,800000,2024-5-02,2024,5,2,02
57,102,USD,INR,10000,800000,2024-5-02,2024,5,2,02
58,102,USD,INR,10000,800000,2024-5-13,2024,5,13,13
59,102,USD,INR,10000,800000,2024-5-29,2024,5,29,29
60,100,USD,INR,10000,800000,2024-5-16,2024,5,16,16
61,100,USD,INR,10000,800000,2024-5-24,2024,5,24,24
62,100,USD,INR,10000,800000,2024-5-29,2024,5,29,29
63,100,USD,INR,10000,800000,2024-5-07,2024,5,7,07
